iter	Passed	Remaining
0	1	151
1	2	146
2	4	145
3	5	137
4	7	137
5	8	134
6	10	134
7	11	134
8	13	137
9	15	139
10	17	138
11	18	137
12	20	135
13	21	134
14	23	131
15	24	129
16	26	128
17	27	126
18	29	123
19	30	122
20	31	119
21	33	118
22	34	116
23	36	114
24	37	112
25	39	111
26	41	112
27	43	111
28	44	109
29	45	107
30	47	105
31	48	103
32	50	101
33	51	99
34	52	98
35	54	96
36	56	95
37	57	93
38	58	92
39	60	90
40	61	88
41	62	85
42	63	84
43	65	82
44	66	81
45	67	79
46	70	79
47	72	78
48	73	76
49	74	74
50	76	73
51	77	71
52	78	70
53	80	68
54	81	66
55	82	65
56	84	63
57	86	62
58	87	60
59	89	59
60	90	57
61	92	56
62	93	54
63	95	53
64	96	52
65	98	50
66	100	49
67	101	47
68	102	46
69	104	44
70	105	43
71	106	41
72	108	40
73	109	38
74	111	37
75	112	35
76	114	34
77	116	32
78	117	31
79	118	29
80	120	28
81	121	26
82	123	25
83	124	23
84	126	22
85	127	20
86	129	19
87	131	17
88	132	16
89	133	14
90	135	13
91	136	11
92	138	10
93	139	8
94	141	7
95	142	5
96	144	4
97	146	2
98	147	1
99	148	0
